,isbn,variable,value
2441,9780804178808,genre_2,
2442,9780374534974,genre_2,
2443,9781476799209,genre_2,
2444,9780062290427,genre_2,
2445,9780399174490,genre_2,
2446,9780062656285,genre_2,
2447,9781594203985,genre_2,
2448,9781492637257,genre_2,
2449,9780399184512,genre_2,
2450,9781250057181,genre_2,
2451,9780670026333,genre_2,thrillers (fiction)
2452,9780544527959,genre_2,
2453,9781250090034,genre_2,
2454,9780062409201,genre_2,
2455,9780345544957,genre_2,
2456,9780316403436,genre_2,
2457,9780345540676,genre_2,
2458,9781250103420,genre_2,
2459,9780345539960,genre_2,
2460,9781101988664,genre_2,fantasy fiction
2461,9780062467256,genre_2,
2462,9781616206178,genre_2,
2463,9780451495976,genre_2,fiction
2464,9781501133862,genre_2,
2465,9780062491794,genre_2,
2466,9780393293012,genre_2,
2467,9781632864499,genre_2,
2468,9781250078551,genre_2,
2469,9781101984994,genre_2,
2470,9780393241655,genre_2,
2471,9780735221086,genre_2,domestic fiction
2472,9780812996395,genre_2,
2473,9781101981207,genre_2,
2474,9781250121004,genre_2,psychological fiction
2475,9781250022134,genre_2,
2476,9780062405616,genre_2,
2477,9781101991633,genre_2,
2478,9781250061577,genre_2,
2479,9781101875612,genre_2,domestic fiction
2480,9781101904220,genre_2,
2481,9780399165214,genre_2,
2482,9780393241686,genre_2,
2483,9781250069795,genre_2,
2484,9781101965085,genre_2,
2485,9780385541404,genre_2,
2486,9781250097910,genre_2,psychological fiction
2487,9781501132933,genre_2,psychological fiction
2488,9780143108573,genre_2,
2489,9781101988640,genre_2,fantasy fiction
2490,9781250063700,genre_2,
2491,9781101947135,genre_2,
2492,9780385540599,genre_2,
2493,9780316228046,genre_2,
2494,9780393245448,genre_2,
2495,9781501126222,genre_2,
2496,9780812998320,genre_2,
2497,9780804141260,genre_2,
2498,9781250092144,genre_2,
2499,9781501142536,genre_2,
2500,9781501124372,genre_2,
2501,9781101875940,genre_2,
2502,9780312380366,genre_2,
2503,9780062200631,genre_2,
2504,9780062083456,genre_2,detective and mystery fiction
2505,9781101987490,genre_2,
2506,9780393285543,genre_2,psychological fiction
2507,9780385540162,genre_2,
2508,9781476777405,genre_2,
2509,9781101883075,genre_2,
2510,9780804177900,genre_2,
2511,9780373789764,genre_2,
2512,9781605989747,genre_2,fantasy fiction
2513,9780765385505,genre_2,
2514,9781501121043,genre_2,
2515,9780399174469,genre_2,romantic suspense fiction
2516,9780399175169,genre_2,
2517,9781400068326,genre_2,
2518,9780451474476,genre_2,
2519,9781101875599,genre_2,
2520,9780525955092,genre_2,
2521,9780399169496,genre_2,romantic suspense fiction
2522,9781501124211,genre_2,
2523,9781451686630,genre_2,thrillers (fiction)
2524,9780062388148,genre_2,
2525,9780812993103,genre_2,
2526,9781616205027,genre_2,
2527,9780062414212,genre_2,
2528,9780143128489,genre_2,
2529,9780399174124,genre_2,
2530,9780373789177,genre_2,
2531,9780525954576,genre_2,
2532,9781612195001,genre_2,
2533,9780062105684,genre_2,
2534,9780062413710,genre_2,
2535,9780385540025,genre_2,
2536,9780553391923,genre_2,
2537,9780399160301,genre_2,
2538,9780345528698,genre_2,
2539,9781492623441,genre_2,
2540,9780385539289,genre_2,
2541,9781250074539,genre_2,
2542,9780385541039,genre_2,
2543,9781250051905,genre_2,
2544,9780345545961,genre_2,
2545,9780062413864,genre_2,
2546,9780316342513,genre_2,
2547,9781400067695,genre_2,
2548,9781501116971,genre_2,
2549,9781940456362,genre_2,ghost stories
2550,9780374290252,genre_2,
2551,9780385539463,genre_2,
2552,9780425260746,genre_2,
2553,9781501107832,genre_2,
2554,9781455525928,genre_2,
2555,9781101874141,genre_2,
2556,9781616203573,genre_2,
2557,9780399171314,genre_2,
2558,9780385540353,genre_2,
2559,9780670025770,genre_2,bible fiction
2560,9780062351425,genre_2,fiction
2561,9780525954330,genre_2,
2562,9780385353779,genre_2,
2563,9780393248678,genre_2,
2564,9780812998689,genre_2,
2565,9781616204136,genre_2,
2566,9780525426592,genre_2,
2567,9781250069177,genre_2,
2568,9781492617891,genre_2,
2569,9780804178778,genre_2,
2570,9781476798172,genre_2,
2571,9780062390547,genre_2,
2572,9781616202613,genre_2,
2573,9781594634475,genre_2,
2574,9780393239294,genre_2,
2575,9781250077004,genre_2,
2576,9780544409910,genre_2,
2577,9780399174001,genre_2,psychological fiction
2578,9781250049582,genre_2,
2579,9781250077172,genre_2,
2580,9781605988443,genre_2,
2581,9781501105432,genre_2,
2582,9781616204204,genre_2,
2583,9781631490477,genre_2,
2584,9780804177993,genre_2,
2585,9781451693591,genre_2,
2586,9781250022080,genre_2,
2587,9781501112317,genre_2,
2588,9780761184997,genre_2,
2589,9780062364838,genre_2,
2590,9781476743653,genre_2,
2591,9780373780129,genre_2,
2592,9780345534187,genre_2,
2593,9780345544049,genre_2,
2594,9781476776880,genre_2,
2595,9781455586738,genre_2,
2596,9781250034588,genre_2,
2597,9780525429142,genre_2,
2598,9781501115066,genre_2,
2599,9780385342940,genre_2,
2600,9781101875049,genre_2,
2601,9781476789255,genre_2,
2602,9781250063694,genre_2,
2603,9780553418774,genre_2,
2604,9780316334525,genre_2,
2605,9780062290397,genre_2,
2606,9781400063369,genre_2,
2607,9781250054807,genre_2,
2608,9780316176538,genre_2,
2609,9780385352871,genre_2,
2610,9781250028594,genre_2,
2611,9780544330146,genre_2,
2612,9781101875896,genre_2,
2613,9781619634442,genre_2,
2614,9780804179034,genre_2,
2615,9780307700322,genre_2,
2616,9780062190376,genre_2,
2617,9780385539586,genre_2,
2618,9780812993158,genre_2,
2619,9781455557103,genre_2,
2620,9780061670893,genre_2,
2621,9780804178112,genre_2,
2622,9781476717777,genre_2,
2623,9780385523233,genre_2,
2624,9780062311115,genre_2,
2625,9781492602026,genre_2,
2626,9780062225467,genre_2,psychological fiction
2627,9780425270189,genre_2,
2628,9781451694147,genre_2,
2629,9780316212243,genre_2,
2630,9780062362858,genre_2,
2631,9780316284943,genre_2,
2632,9780399172779,genre_2,
2633,9780812996678,genre_2,
2634,9780307408860,genre_2,
2635,9780062224101,genre_2,
2636,9781476778068,genre_2,historical fiction
2637,9781612194424,genre_2,
2638,9780804178426,genre_2,
2639,9780385539043,genre_2,historical fiction
2640,9781250056450,genre_2,
2641,9780062282569,genre_2,
2642,9780345531797,genre_2,
2643,9780062072948,genre_2,
2644,9780062339485,genre_2,
2645,9780765376459,genre_2,
2646,9781101874271,genre_2,
2647,9780399169526,genre_2,
2648,9781250019837,genre_2,
2649,9780345539939,genre_2,
2650,9780345539816,genre_2,
2651,9781616954765,genre_2,
2652,9781594633669,genre_2,
2653,9781402298684,genre_2,
2654,9780804176378,genre_2,
2655,9780804178983,genre_2,
2656,9781476767314,genre_2,
2657,9781402294518,genre_2,
